,query,url
702,dwt,producer/dwt/
703,topex,producer/topex/
704,oras,producer/oras/
705,наколенники,catalog/nakolenniki/
706,наколенники,catalog/rabochaia-obuv/
707,вороток,catalog/vorotki-privodi-treschetki/
708,транспортир,catalog/uglomery-uklonomery/
709,бра,catalog/bra/
710,nws,producer/nws/
711,фиолент,producer/fiolent/
712,крона,producer/krono/
713,тросорез,catalog/trosorezy/
714,трещеткой,catalog/vorotki-privodi-treschetki/
715,тример,search/?q=%f2%f0%e8%ec%ec%e5%f0
716,мастер,producer/master/
717,гидроуровень,catalog/urovni-puzyrkovye/
